"id","name","year","scope1_intensity","scope2_intensity","scope3_intensity","scope_1","scope_2","scope_3","energy_cons","waste","waste_recycled","water_cons","waste_water","renewable_energy_pct","waste_recycled_pct","fuel_fleet","donations","donations_pct","contrib_political","legal_spending","fines_spending","employees","employee_turnover","female_pct","female_mgmt_pct","employee_parental_pct","employee_tenure","employee_under30_pct","employee_over50_pct","training_spending"
8,Brenntag AG,2021,,,,193989.0,80513.0,,1655392.536,,,,,,,,,,,,,17236.0,3.0,34.48595961940125,31.0,,,10.350429333952194,33.3604084474356,
8,Brenntag AG,2020,,,,200527.0,91383.0,,1614488.9508,,,,,,,,,,,,,17237.0,5.1,34.17648082612983,21.0,,,11.695770725764344,32.01833265649475,
8,Brenntag AG,2019,,,,,,,,,,,,,,,,,,,,17492.0,4.4,33.62108392407958,19.1,,,9.410016007317632,19.13325984800139,
43,Rheinmetall AG,2021,,,,144151.0,306730.0,,,57279660.9,47038449.434999995,,,,82.12068419385491,,,,,,,24841.0,,21.448411899681975,,,11.8,,,
30,K+S AG,2021,,,,1900000.0,200000.0,500000.0,44361720,,,,,,,,,,,,,10840.0,9.2,,,,,,,
30,K+S AG,2020,,,,1900000.0,300000.0,500000.0,44199000,,,,,,,,,,,,,11273.0,7.6,,,,,,,
2,Airbus SE,2020,,,,470000.0,313000.0,443402000,12535200,74879.0,,3332617.0,,20.7,51.0,,,,,,,13134.0,,,,,,,,
2,Airbus SE,2019,,,,578000.0,376000.0,736281000,14788800,99361.0,,4081726.0,,21.2,53.9,,,,,,,13493.0,,,,,,,,
15,Dürr AG,2020,,,,13100.0,29600.0,16600.0,428040.0,8822374.125,6064531.725,166998.0,156316.0,,68.74035989717223,,360000.0,,,,,16525.0,,16.2,,,,,,
15,Dürr AG,2019,,,,14300.0,40300.0,30000.0,478080.00000000006,11099408.475,8017701.029999999,201979.0,191388.0,,72.23539027380465,,435000.0,,,,,16493.0,,16.0,,,,,,
15,Dürr AG,2018,,,,12900.0,35800.0,31000.0,427680.0,9592574.19,7672063.545,201279.0,188329.0,,79.97919425004729,,390000.0,,,,,16312.0,,15.8,,,,,,
21,GEA Group AG,2021,,,,35077.0,15726.0,27843299,915238.8,11826970.844999999,,73412.0,,,95.56,,,,,,,17235.0,,19.0,,,,,,
21,GEA Group AG,2020,,,,30938.0,27664.0,22587414,829220.4,11790683.444999998,,64437.0,,,95.37,,,,,,,,,,,,,,,
21,GEA Group AG,2019,,,,35550.0,31998.0,26187353,850233.6,12635272.68,,44657.0,,,95.2,,,,,,,,,,,,,,,
7,Bechtle AG,2020,,,,,,,,535366.0,535366.0,,,,100.0,,,,,,,12180.0,7.2,27.4384236453202,,,,25.54187192118227,22.520525451559934,
7,Bechtle AG,2019,,,,20053.99,7364.51,,367450.69,546423.0,,,,,,,,,,,,11487.0,9.4,26.830329938191,,,,26.5430486637068,21.911726299294855,
47,Scout24 AG,2021,,,,,,,,,,,,,,,,,,,,852.0,14.671361502347418,43.0,,,,21.0,5.0,
47,Scout24 AG,2019,,,,315.260946,536.825457,3368.662416,19839.942,,,,,,,,,,,,,861.0,22.76422764227642,,,,,,,
48,Siemens Healthineers AG,2019,,,,138000.0,185000.0,3005000.0,1567081.0,22300000,,1140000.0,1110000.0,36.94767532756762,81.0,,4.3,,,,,52018.0,,30.0,11.390287977238648,,,29.0,18.0,
48,Siemens Healthineers AG,2020,,,,105000.0,203000.0,2921000.0,1614904.0,44600000,,1140000.0,1080000.0,38.144682284519696,82.0,,4.5,,,,,54276.0,,31.0,11.612867565774929,,,28.0,18.0,
70,Daimler Truck,2020,,,,1027000.0,2527000.0,,34959600,1025000000,,14381000,,,,,,,,,,,4.9,18.7,20.5,,,,,
70,Daimler Truck,2019,,,,1239000.0,2982000.0,,40633200,1249000000,,,,,,,,,,,,,,19.0,19.8,,,,,
70,Daimler Truck,2018,,,,1247000.0,3672000.0,,41785200,1328000000,,,,,,,,,,,,,,19.1,18.8,,,,,
43,Rheinmetall AG,2020,,,,128128.0,282276.0,,,52297400.879999995,42345581.43,,,,80.97071884540661,,,,,,,24095.0,,21.672546171404854,,,11.9,,,
1,Aareal Bank AG,2019,,,,2110.0,2882.0,16292.0,63019.0,,,,,,,,,,,,,2788.0,,36.8,23.8,,,,,
22,Gerresheimer AG,2019,,,,264803.0,282724.0,297051.0,6189000.0,,,972706.0,,,,,,,,,,,,,,,,,,
18,Fraport AG,2021,,,,23200.0,90900.0,,2172100.0,1600.0,,884000.0,,,,,,,,,,17781.0,,26.3,,,,,,
31,Kion Group AG,2020,,,,106880.0,83400.0,21300000,2142505.0,65638000,,472200.0,368500.0,,64.2173740820866,,,,,,,36207.0,,17.2,,,,17.7,26.9,
31,Kion Group AG,2019,,,,72600000,4800000.0,22700000.000000004,,,,,,,,,,,,,,34604.0,,16.7,,,,11.7,36.5,
47,Scout24 AG,2020,,,,255.736152,701.069796,1471.5851850000001,14547.6792,,,,,,,,,,,,,834.0,15.827338129496402,42.0,,,,,,
57,Uniper SE,2020,,,,46958461.806,1083896.894745,,34236000,166484.0,,,,,,,,,,,,12100.0,,25.099173553719005,,,,5.900826446280992,0.5371900826446281,
57,Uniper SE,2021,,,,56107645.679,881177.492601,117285923.38400002,39852000,158367.0,,,,,,,,,,,,11838.0,,25.38435546545024,,,,4.544686602466633,0.9292110153742187,
20,Fuchs Petrolub SE,2019,,,,,,,,,,,,,,,,,,,,,,,22.0,,10.0,15.0,29.0,
20,Fuchs Petrolub SE,2020,,,,47806.0,40389.0,66445.0,999698.4,,18582.0,449484.0,,,,,,,,,,5728.0,,,24.0,,10.0,14.0,30.0,
37,Nemetschek SE,2020,,,,146.81,207.1,5797.0,,,,,,,,,,,,,,7159.0,13.6,31.3,23.7,,,27.2,17.5,
80,HeidelbergCement,2020,,,,67900000,4000000.0,8900000.0,343099000,,,,,,,,,,,,,53122.0,8.0,15.9,,,,10.6,38.1,
80,HeidelbergCement,2019,,,,72600000,4800000.0,9400000.0,362911000,,,,,,,,,,,,,55047.0,11.0,15.3,,,,11.7,36.5,
79,Hannover Re,2018,,,,34.8,4059.56,8088.55,,,,,,,,,,,,,,,,,15.6,,,,,
3,Aixtron SE,2020,,,,,,,45731.8116,108804.0,,,,,,,,,,,,745.0,,19.5,,,,,,
3,Aixtron SE,2021,,,,304.0,499.0,258626.0,51611.1372,129070.0,,,,,,,,,,,,739.0,,20.0,,,,,,
18,Fraport AG,2020,,,,21900.0,107400.0,,2026330.0,1496.0,,905000.0,,,,,,,,,,19884.0,,26.3,,,,,,
22,Gerresheimer AG,2020,,,,275334.0,285092.0,304024.0,6376000.0,,,1049098.0,,,,,,,,,,9880.0,11.973684210526315,33.3,18.0,,,,,
22,Gerresheimer AG,2021,,,,280410.0,272082.0,410060.0,6521000.0,21267137.955,,976951.0,,,,,,,,,,10447.0,15.181391787115919,30.8,20.2,,,,,
26,HELLA GmbH & Co. KGaA,2020,,,,54731.0,202938.0,,1794722.1156,,,,,,,,,,,,,,,,,,,,,
26,HELLA GmbH & Co. KGaA,2021,,,,49651.0,172834.0,,2046620.7648,,,,,,,,,,,,,36500.0,,37.26301369863014,,,,20.854794520547944,20.87945205479452,
20,Fuchs Petrolub SE,2018,,,,,,,,,,,,,,,,,,,,,,,22.0,,10.0,16.0,28.0,
80,HeidelbergCement,2021,,,,69000000,4900000.0,8100000.0,353640000,1276700000,,9000000.0,,,66.0,,,,,,,51209.0,15.0,15.9,,,,11.2,37.0,
9,Cancom SE,2021,5.4,6.5,,7000.0,8500.0,,144216.0,,,,,,,,,,,,,4038.0,12.9,21.34720158494304,,3.3184744923229323,,23.95,24.59,
37,Nemetschek SE,2019,,,,,,,,,,,,,,,,,,,,3074.0,,31.3,24.0,,,23.0,41.6,
9,Cancom SE,2020,4.6,7.1,,5442.0,8396.0,,141408.0,,,,,,,,,,,,,3742.0,13.3,20.497060395510424,,3.099946552645644,,22.96,24.8,
23,Grand City Properties S.A.,2021,,,,7000.0,10229.0,55452.0,,,,5102748.0,,,,,,,,,,885.0,13.0,50.51,,6.89,,,,
5,Aroundtown S.A.,2021,,,,11366.0,25927.0,70085.0,1722960.0,1602893000,,5856611.0,,,,0.79,,,,,,1631.0,,49.05,,,,,,
5,Aroundtown S.A.,2020,,,,9031.0,26660.0,59867.0,,1593612000,,5931777.0,,,,0.69,,,,,,659.0,,48.41,,,,,,
6,Aurubis AG,2018,,,,522000.0,936000.0,64.1,12636000,,,,,,,,,,,,,6853.0,,12.0,,,,14.796439515540637,35.48810739821976,
6,Aurubis AG,2017,,,,517000.0,1048000.0,57.0,12744000,,,,,,,,,,,,,6673.0,,12.0,,,,14.562965124762878,36.28053349318148,
23,Grand City Properties S.A.,2020,,,,5442.0,8448.0,46603.0,,,,5116728.0,,,,,,,,,,940.0,10.0,55.85,,6.28,,,,
55,Telefónica Deutschland Holding AG,2021,,,,5369.0,269086.0,316.0,2718000.0,1186597.98,,27200.0,,,,,,,,,,7416.0,,38.5,28.6,,,9.79,11.84,
55,Telefónica Deutschland Holding AG,2020,,,,5623.0,305896.0,896.0,2649600.0,1503659.14,,61600.0,,,,,,,,,,8196.0,,39.4,28.6,,,11.13,10.68,
55,Telefónica Deutschland Holding AG,2019,,,,7000.0,412080.0,4957.0,2617200.0,1659241.36,,64730.0,,,,,,,,,,8443.0,,40.1,28.6,,,12.92,9.05,
55,Telefónica Deutschland Holding AG,2018,,,,6889.0,467499.0,6061.0,2800800.0,3120716.4,,77685.0,,,,,,,,,,8868.0,,40.2,25.0,,,14.58,7.81,
55,Telefónica Deutschland Holding AG,2017,,,,16220.0,554808.0,6889.0,2847600.0,1598369.25,,87156.0,,,,,,,,,,9281.0,,40.7,25.0,,,15.54,5.88,
77,Fresenius,2021,,,,578000.0,946000.0,,21024000,,,,,,,,,,,,,316078.0,,69.0,,,,,,
77,Fresenius,2020,,,,536000.0,976000.0,,19692000,,,,,,,,,,,,,311269.0,,68.0,,,,,,
77,Fresenius,2019,,,,522000.0,982000.0,,19152000,,,,,,,,,,,,,294134.0,,68.0,,,,,,
74,Deutsche Post,2021,,,,7300000.0,200000.0,31860000,109749600,,,998000.0,,86.0,,,,,,,,592263.0,21.0,34.711296618713,,,,,,82324557
74,Deutsche Post,2020,,,,6590000.0,190000.0,26860000,98737200,,,1175000.0,,86.0,,,,,,,,571974.0,16.5,34.2,,,,,,86940048
74,Deutsche Post,2019,,,,6270000.0,210000.0,26720000,94316400,,,1161000.0,,83.0,,,,,,,,546924.0,18.099999999999998,34.4,,,,,,83679372
74,Deutsche Post,2018,,,,6300000.0,270000.0,29060000,95173200,,,1096000.0,,77.0,,,,,,,,547459.0,16.6,34.8,,,,,,83213768
73,Deutsche Börse,2021,,,,1064.0,2925.0,1989.0,275914.8,1141000.0,200000.0,80981.0,,63.476116540323325,17.5284837861525,,,,,,,10200.0,11.607843137254902,,,,,21.196078431372552,17.30392156862745,
73,Deutsche Börse,2020,,,,4931.0,1805.0,2435.0,244324.80000000002,78000.0,187000.0,74633.0,,53.562798373312894,239.74358974358972,,,,,,,,,,,,,,,
73,Deutsche Börse,2019,,,,5831.0,2217.0,5112.0,286952.4,1116000.0,255000.0,93880.0,,54.441781981959366,22.849462365591396,,,,,,,,,,,,,,,
74,Deutsche Post,2017,,,,5900000.0,440000.0,28530000,89737200,,,1119000.0,,63.0,,,,,,,,519544.0,15.299999999999999,35.0,,,,,,80529320
74,Deutsche Post,2016,,,,5680000.0,370000.0,26480000,85813200,,,1438000.0,,62.0,,,,,,,,508036.0,14.899999999999999,35.0,,,,,,72649148
48,Siemens Healthineers AG,2021,,,,106000.0,206000.0,3243000.0,1632859.0,25300000,,1160000.0,1140000.0,38.2764219078316,82.0,,9.5,,,,,55526.0,,31.0,11.823289990274827,,,28.0,18.0,
86,Merck,2015,,,,869200.0,1134500.0,5586300.0,,,,23900000,,,,,,,,,,,,,,,,,,
14,Deutsche Lufthansa AG,2020,,,,11509756,135183.0,3491821.0,,,,,,,,,,,,,,110065.0,,45.3,17.7,,,,,
88,Munich Re,2021,,,,52467.798978,52636.452561000006,,1250895.6,5416000.0,,431593.0,,,,,,,,,,39281.0,3888.819,52.6,37.8,,,12.7,34.4,
88,Munich Re,2020,,,,48617.426655,57246.317163,,1241740.8,5820000.0,,507238.0,,,,,,,,,,39642.0,3653.1330000000007,52.9,35.1,,,12.1,33.5,
88,Munich Re,2019,,,,48527.037153000005,70341.77184300001,,1299229.2,9870000.0,,665766.0,,,,,,,,,,39662.0,4831.563,53.1,35.4,,,12.600000000000001,31.799999999999997,
85,Mercedes-Benz Group,2020,,,,1027000.0,1492000.0,,34959600,1025000000,1001000000,11778000,8671000.0,,97.65853658536585,,,,,,,288481.0,5.8,18.7,25.0,,,,31.700000000000003,112000000
85,Mercedes-Benz Group,2019,,,,1239000.0,1706000.0,,40633200,1249000000,1212000000,13486000,9289000.0,,97.03763010408326,,,,,,,298655.0,6.0,19.0,25.0,,,,33.0,129000000
85,Mercedes-Benz Group,2018,,,,1247000.0,1985000.0,,41785200,1328000000,1277000000,14381000,10041000,,96.15963855421687,,,,,,,298683.0,4.9,19.1,25.0,,,,32.1,124000000
85,Mercedes-Benz Group,2017,,,,1192000.0,2041000.0,,40824000,1269000000,1172000000,14014000,9038000.0,,92.35618597320725,,,,,,,289321.0,5.1,18.5,25.0,,,,32.0,114000000
85,Mercedes-Benz Group,2021,,,,681000.0,1123000.0,,24429600,651000000,635000000,7454000.0,5015000.0,,97.54224270353302,,,,,,,172425.0,8.7,21.1,37.5,,,,33.3,93000000
99,Vonovia,2021,,,,448790.0,401316.0,33596.0,16012058.4,561643000,352150161,49600000,,,62.7,,,,,,,10768.0,15.0167161961367,25.66864784546805,28.0,,,14.320208023774144,30.442050520059432,1800000.0
39,ProSiebenSat.1 Media SE,2019,,,,2110.0,2882.0,16292.0,28641600,47000.0,,,,,,,,,,,,6758.0,,60.6,,,,,,
79,Hannover Re,2019,,,,28.36,2471.44,7986.82,,,,,,,,,,,,,,3083.0,,53.45442750567629,17.4,,,,,
37,Nemetschek SE,2021,,,,143.19,196.64999999999998,5495.0,,,,,,,,,,,,,,7383.0,16.5,31.3,25.0,,,23.8,54.7,
58,United Internet AG,2018,,,,593.39,1367.9,,843670.548,,,,,,,,,,,,,9093.0,,32.0,,,,25.5,11.2,
58,United Internet AG,2019,,,,587.52,451.3,,781797.3840000001,,,,,,,,,,,,,9374.0,,31.88,,,,23.38,15.64,
58,United Internet AG,2020,,,,640.61,418.86,,745055.532,,,,,,,,,,,,,9638.0,,31.78,,,,23.17,16.63,
60,Zalando SE,2020,,,,8497.0,1124.0,4500473.0,,25167000,23606.0,,,,,,,,,,,14194.0,,46.4,,,,,,
60,Zalando SE,2021,,,,7690.0,2414.0,5578964.0,659005.2,31019000,29275.0,,,,,,,,,,,17043.0,,47.2,,,,,,
14,Deutsche Lufthansa AG,2019,,,,33349293,199817.0,10588707,,,,,,,,,,,,,,138353.0,,45.4,16.9,,,,,
14,Deutsche Lufthansa AG,2016,,,,29250821,275161.0,8774221.0,,,,,,,,,,,,,,124306.0,,45.0,,,,,,
14,Deutsche Lufthansa AG,2018,,,,32790778,194059.0,11089327,,,,,,,,,,,,,,135534.0,,46.1,,,,,,
14,Deutsche Lufthansa AG,2017,,,,28949145,256232.0,10678859,,,,,,,,,,,,,,129424.0,,45.7,,,,,,
84,Linde,2020,,,,17909068.1,23114128.700000003,15876426.9,249397200,90600000,,73700000,,,,,,,,,,74207.0,,27.0,20.0,,,,,
84,Linde,2019,,,,18144960.3,24526175,16988647.6,248893200,91000000,,82900000,,,,,,,,,,79886.0,,27.0,19.0,,,,,
35,Metro AG,2021,,,,435830.0,652791.0,2795970.0,7491427.2,,,,,5.089641664007627,,1.8970091999999998,6.889,,,,,95141.0,,48.8,,,,,,
79,Hannover Re,2020,,,,23.94,1858.58,1771.62,,,,,,,,,,,,,,3218.0,,51.52268489745183,18.0,,,,,
35,Metro AG,2020,,,,453269.0,692034.0,1380826.0,7519680.0,,,,,3.7376005361930296,,1.7979408,,,,,,97639.0,,48.2,,,,,,
35,Metro AG,2019,,,,464532.0,732162.0,2714477.0,7950607.2,,,,,3.4607168116669125,,1.8855431999999999,,,,,,101654.0,,48.5,,,,,,
76,E.ON,2021,,,,4089574.9601000003,4299014.109,110650009.2978,,569200000,,52500000,,,90.8,,,,,,,69733.0,,32.0,,,,,,
76,E.ON,2019,,,,4232875.4304,5313140.5142,132574981.2537,,576600000,,47300000,,,91.3,,,,,,,75659.0,,33.0,,,,,,
39,ProSiebenSat.1 Media SE,2020,,,,1599.0,2188.0,5797.0,16178400,23000.0,,,,,,,,,,,,7159.0,13.6,59.8,31.9,,,,,
39,ProSiebenSat.1 Media SE,2021,,,,1615.0,2036.0,5495.0,120348.0,17000.0,,,,,,,,,,,,7383.0,16.5,61.3,32.0,,,24.0,11.0,
72,Deutsche Bank,2021,,,,32991.0,47068.0,1992706.0,2552112.0,12168068.91762,,1007336.0,,,,,,,,,,82969.0,,46.6,,,,14.7,30.2,
72,Deutsche Bank,2020,,,,39408.0,81959.0,1912705.0,2693238.0,12163532.99392,,1302633.0,,,,,,,,,,84659.0,,46.4,,,,14.9,29.6,
72,Deutsche Bank,2019,,,,50273.0,104671.0,2127013.0,3209506.0,15626257.14,,1711257.0,,,,,,,,,,87597.0,,46.3,,,,15.1,29.2,
82,Henkel,2021,,,,343000.0,132000.0,11586000,8820000.0,97068795,,8117000.0,3378000.0,,,399600.0,,,,,,52450.0,,36.7,38.1,,,14.8,24.6,
82,Henkel,2018,,,,353000.0,329000.0,11938000,9054000.0,113398125,,8359000.0,3544000.0,,,370800.0,,,,,,53000.0,,34.4,34.7,,,16.1,24.0,
82,Henkel,2019,,,,351000.0,315000.0,11618000,8935200.0,102511905,,8324000.0,3485000.0,,,410400.0,,,,,,52450.0,,35.5,35.7,,,15.3,24.6,
82,Henkel,2020,,,,345000.0,191000.0,11766000,8719200.0,95254425,,8231000.0,3616000.0,,,399600.0,,,,,,52950.0,,36.1,36.9,,,15.1,24.8,
82,Henkel,2017,,,,375000.0,344000.0,13157000,9208800.0,112490940,,8654000.0,3423000.0,,,410400.0,,,,,,53700.0,,34.3,34.5,,,16.9,22.8,
86,Merck,2016,,,,861500.0,1040100.0,7975100.0,20913432,65860723.815,,20700000,,,,,,,,,,68000.0,,23.0,,,,,,
83,Infineon Technologies,2020,,,,191245.55,1421706.38,,1874.61,,,,,,,0.00205,,,,,,46665.0,,31.648987463837997,,,,,,
83,Infineon Technologies,2021,,,,251638.43,1845256.73,,2437.06,,,,1943109.0,,,0.00216,,,,,,50288.0,,35.787861915367486,,,,,,
86,Merck,2017,,,,806200.0,931100.0,6586100.0,19418800,65703780.809999995,,19700000,,,,,,,,,,69000.0,,23.0,,,,,,
86,Merck,2018,,,,800000.0,832300.0,6239800.0,19313900,67068187.05,,20600000,,,,,,,,,,69000.0,,33.0,,,,,,
86,Merck,2019,,,,799000.0,732200.0,6965600.0,18674800,68492467.5,,20400000,,,,,,,,,,71000.0,,46.0,,,,,,
86,Merck,2020,,,,738400.0,647800.0,7103450.0,18033385,70377597.92999999,,20500000,,,,,,,,,,74000.0,,46.0,,,,,,
99,Vonovia,2020,,,,466848.0,410369.0,35085.0,16376223.6,519402000,330859074,53200000,,,63.7,,,,,,,10622.0,14.215778572773488,24.722274524571645,25.9,,,14.074562229335342,27.603087930709847,3500000.0
99,Vonovia,2019,,,,571744.0,466892.0,37292.0,15545646,485828000,306071640,45200000,,,63.0,,,,,,,10059.0,17.824833482453524,23.869171885873346,23.9,,,,,
93,SAP,2021,,,,110000.0,,,3387600.0,,,,,100.0,,,,,,,,107415.0,9.0,34.3,28.3,,,,,
93,SAP,2020,,,,135000.0,,,3164400.0,,,,,100.0,,,,,,,,102430.0,7.0,33.6,27.5,,,,,
93,SAP,2019,,,,300000.0,,,4014000.0,,,,,100.0,,,,,,,,100330.0,10.7,33.5,26.4,,,,,
92,RWE,2021,,,,95790852.83900002,2976240.5370000005,25022466.737,924000000,,,168000000,,,,,,,,,,18246.0,,15.7,19.0,,,14.0,44.300000000000004,
92,RWE,2020,,,,77382253.96200001,3417165.061,21935995.069,804000000,,,155000000,,,,,,,,,,19498.0,,14.7,16.6,,,13.5,45.9,
92,RWE,2019,,,,,,,934000000,,,,,,,,,,,,,17287.0,,12.8,15.8,,,12.899999999999999,53.1,
78,Fresenius Medical Care,2021,,,,262600.0,502900.0,,9360000.000000002,,,41400000,,,,,,,,,,122909.0,,69.0,59.0,,7.6,16.0,26.0,
78,Fresenius Medical Care,2020,,,,242200.0,527200.0,,9000000.0,,,41700000,,,,,,,,,,125364.0,,69.0,,,7.3,17.0,25.0,
78,Fresenius Medical Care,2019,,,,227300.0,547200.0,,8640000.0,,,43200000,,,,,,,,,,120659.0,,69.0,,,6.8,18.0,26.0,
78,Fresenius Medical Care,2018,,,,218700.0,557200.0,,8640000.0,,,42100000,,,,,,,,,,112658.0,,69.0,,,7.0,16.0,27.0,
11,Commerzbank AG,2019,,,,28314.0,12262.0,43372.0,,,,,,,,,,,,,,,,,,,,,,
12,CompuGroup Medical SE,2021,,,,,,,,,,,,,,,,,,,,8598.0,,36.0,,,,22.0,20.0,
11,Commerzbank AG,2020,,,,37001.0,15093.0,71794.0,,,,,,,,,,,,,,,,,,,,,,
1,Aareal Bank AG,2021,,,,1615.0,2036.0,5495.0,50965.0,,,,,,,,,,,,,3170.0,16.5,36.6,24.3,,,,,
1,Aareal Bank AG,2020,,,,1599.0,2188.0,5797.0,49093.0,,,,,,,,,,,,,2982.0,13.6,37.6,24.6,,,,,
31,Kion Group AG,2021,,,,110291.0,90689.0,20000000,2271351.0,76307000,,583800.0,472900.0,,64.0832426907099,,,,,,,39602.0,,17.1,,,,18.4,26.700000000000003,
89,Porsche,2021,,,,7656.0,1434.0,27574.0,1559840.4000000001,21755000,,694992.0,,,,,,,,,,36996.0,,18.4,,,,20.0,20.1,
89,Porsche,2020,,,,25656.0,1315.0,28753.0,1225177.2,20787000,,,,,,,,,,,,36359.0,,18.1,,,,22.6,19.8,
89,Porsche,2019,,,,56267.0,1418.0,74157.0,1177628.4000000001,23995000,,,,,,,,,,,,35429.0,,18.2,,,,23.9,19.7,
33,Lanxess AG,2020,,,,1490.0,1687.0,,28500000,1795100.0,,,,,,,,,,,,14756.0,9.72,23.4,,,,11.148007590132828,41.40010843046896,
40,Puma SE,2019,,,,6326.0,40986.0,250240.0,289400.4,3644000.0,,89676000,,,44.0,,,,,,,,,,41.0,,,,,
40,Puma SE,2021,,,,4046.0,32545.0,264005.0,319197.60000000003,5215000.0,,116829000,,,43.0,,,,,,,14846.0,,45.65,44.0,,,,,
40,Puma SE,2020,,,,4179.0,29839.0,211108.0,282060.0,3949000.0,,96569000,,,36.0,,,,,,,13016.0,,30.2,43.0,,,,,
98,Volkswagen Group,2021,,,,522495.56137608,266759.33724264,,79056000,83330000,,,,,,,,,,,,672789.0,,17.9,,,,18.0,26.000000000000004,
98,Volkswagen Group,2020,,,,478403.10893928,308647.1670576,,77832000,99443000,,,,,,,,,,,,662575.0,,17.0,,,,19.5,24.7,
95,Siemens,2021,,,,425492.166046,229280.752688,517282731.224281,9863000.0,275500000,253460000,15000000,,46.4,92.0,,,,,,,303000.0,9.7,26.7,19.6,,,,,
95,Siemens,2020,,,,467379.995864,278884.761683,559633531.792901,10416000,397500000,369675000,15300000,,39.4,93.0,,,,,,,293000.0,8.4,26.2,18.4,,,,,
76,E.ON,2020,,,,4321060.3352,4949377.7819,119006741.570041,,511900000,,46400000,,,86.1,,,,,,,74866.0,,32.0,,,,,,
78,Fresenius Medical Care,2017,,,,325724.0,529824.0,,10159200,,,35700000,,,,,,,,,,114000.0,,69.0,,,,18.0,26.0,
16,Evonik Industries AG,2021,,,,4826000.0,5468000.0,,282168960,429105600,,599700000,4517.95,,,59570000,,,,369.0,,33004.0,7.0,26.9,,,,,,
16,Evonik Industries AG,2020,,,,4860000.0,5431000.0,,267650480,450878400,,561400000,11768.84,,,58500000,,,,367.0,,,4.4,26.9,,,,,,
16,Evonik Industries AG,2019,,,,4923000.0,5486000.0,,,453600000,,523600000,14187.36,,,,,,,325.0,,,5.2,26.1,,,,,,
